_id,pin,block_lot,filing_date,case_id,municipality,ward,docket_type,amount,plaintiff
8723,1367D00089000000,1367D89,2010-12-09,MG-10-002777,Harrison Township,,Discontinued without Prejudice,111121.99,Deutsche Bank National Trust Company as trustee
8724,0258L00013000000,258L13,2010-12-09,MG-10-002778,S. Fayette Township,,Sheriff Return,98709.9,Deutsche Bank National Trust Company
8725,0043J00094000000,43J94,2010-12-10,MG-10-002779,McKees Rocks Boro,,Sheriff Return,14934.61,PNC Mortgage
8726,0178M00310000000,178M310,2010-12-10,MG-10-002780,Rankin Boro,,Reply to New Matter,69938.75,U.S. Bank National Association
8727,0176P00053000000,176P53,2010-12-10,MG-10-002781,Wilkinsburg Boro,,Discontinued without Prejudice,137317.95,HSBC Bank USA N.A.
8728,0464F00026000000,464F26,2010-12-10,MG-10-002782,City of McKeesport,11,Sheriff Return,46310.47,PNC Mortgage
8729,0562B00176000000,562B176,2010-12-10,MG-10-002783,Pleasant Hills Boro,,Order of Court,119804.45,OneWest Bank FSB
8730,0318K00258000000,318K258,2010-12-13,MG-10-002784,Bethel Park Boro,,Sheriff Return,53657.7,PNC Bank National Association
8731,0267S00194000000,267S194,2010-12-13,MG-10-002785,Robinson Township,,Settled and Discontinued,41618.83,PNC Bank National Association
8732,0132M00310000000,132M310,2010-12-13,MG-10-002786,Munhall Boro,,Sheriff Return,36942.33,U.S. Bank National Association
8733,1224E00099000000,1224E99,2010-12-13,MG-10-002787,Tarentum Boro,,Sheriff Return,53949.72,Deutche Bank National Trust Company
8734,0455E00210000000,455E210,2010-12-13,MG-10-002788,Turtle Creek Boro,,Discontinued without Prejudice,90764.25,Deutche Bank National Trust Company
8735,1239R00077000000,1239R77,2010-12-13,MG-10-002789,Plum Boro,,Order of Court,131310.83,Ocwen Loan Servicing LLC
8736,0280C00060000000,280C60,2010-12-13,MG-10-002790,West View Boro,,Sheriff Return,69943.37,Dollar Bank Federal Savings Bank
8737,0297J00094000000,297J94,2010-12-14,MG-10-002791,Wilkinsburg Boro,,Sheriff Return,0.0,Household Finance Consumer Discount Company
8738,0236G00181000000,236G181,2010-12-13,MG-10-002792,Braddock Boro,,Order of Court,77492.07,Deutche Bank National Trust Company
8739,0156K00228000000,156K228,2010-12-14,MG-10-002793,Kennedy Township,,Satisfaction,129235.0,Aurora Loan Services LLC
8740,0455H00189000000,455H189,2010-12-14,MG-10-002794,Turtle Creek Boro,,Settled and Discontinued,31620.29,Wells Fargo Bank NA
8741,0095M00299000000,95M299,2010-12-14,MG-10-002795,Pittsburgh,29,Sheriff Return,73358.08,Citimortgage Inc.
8742,0124N00147000000,124N147,2010-12-14,MG-10-002796,Pittsburgh,12,Correction to Judgment Index,29635.03,HSBC Mortgage Corporation USA
8743,0666D00239000000,666D239,2010-12-14,MG-10-002797,Bethel Park Boro,,Sheriff Return,145316.1,BAC Home Loans Servicing L.P.
8744,1224A00269000000,1224A269,2010-12-15,MG-10-002798,Brackenridge Boro,,Order of Court,61804.22,Bank of New York Mellon Trust Company
8745,0177H00032000000,177H32,2010-12-15,MG-10-002799,Edgeworth Boro,,Sheriff Return,61086.86,U.S. Bank National Association
8746,0534P00310000000,534P310,2010-12-15,MG-10-002800,Penn Hills Township,,Sheriff Return,81340.44,Citimortgage Inc.
8747,0013R00095000000,13R95,2010-12-15,MG-10-002801,Pittsburgh,16,Sheriff Return,41055.66,Citimortgage Inc.
8748,0653G00098000000,653G98,2010-12-15,MG-10-002802,Elizabeth Township,,Settled and Discontinued,66741.8,Beneficial Consumer Discount Company
8749,0120L00266000000,120L266,2010-12-15,MG-10-002803,Pittsburgh,10,Certificate-Recorder of Deeds,70736.94,Household Finance Consumer Discount Company
8750,0097D00206000000,97D206,2010-12-15,MG-10-002804,Pittsburgh,19,Order of Court,77867.27,Citimortgage Inc.
8751,0434G00038000000,434G38,2010-12-15,MG-10-002805,Shaler Township,,Correction to Judgment Index,282661.29,Citimortgage Inc.
8752,1321M00099000000,1321M99,2010-12-15,MG-10-002806,Findlay Township,,Order of Court,123803.74,Sovereign Bank
8753,0081M00318000000,81M318,2010-12-15,MG-10-002807,Pittsburgh,10,Discontinued without Prejudice,45647.1,HSBC Bank USA as Trustee
8754,0384L00007000000,384L7,2010-12-15,MG-10-002808,Glassport Boro,,Discontinued without Prejudice,42166.44,PNC Bank N.A.
8755,0168B00152000000,168B152,2010-12-15,MG-10-002809,O'Hara Township,,Sheriff Return,0.0,U.S. Bank N.A.
8756,0538R00374000000,538R374,2010-12-15,MG-10-002810,Penn Hills Township,,Sheriff Return,0.0,U.S. Bank N.A.
8757,0096A00008000000,96A8,2010-12-15,MG-10-002811,Pittsburgh,19,Settled and Discontinued,0.0,U.S. Bank N.A.
8758,0536F00309000000,536F309,2010-12-16,MG-10-002812,Penn Hills Township,,Sheriff Return,100543.59,Wells Fargo Bank N.A.
8759,0079B00270000000,79B270,2010-12-16,MG-10-002813,Millvale Boro,,Sheriff Return,58384.62,Citimortgage Inc.
8760,0627H00297000000,627H297,2010-12-16,MG-10-002814,Springdale Boro,,Settled and Discontinued,45564.73,PNC Bank National Association
8761,0116J00011000000,116J11,2010-12-16,MG-10-002815,Pittsburgh,26,Sheriff Return,95341.0,Household Finance Consumer Discount Company
8762,0448N00159000000,448N159,2010-12-16,MG-10-002816,Penn Hills Township,,Sheriff Return,0.0,HSBC Mortgage Corporation
8763,0316C00046000000,316C46,2010-12-16,MG-10-002817,Whitehall Boro,,Settled and Discontinued,81200.91,Bank of New York Mellon
8764,0551A00163000000,551A163,2010-12-17,MG-10-002818,White Oak Boro,,Discontinued without Prejudice,74958.64,Wells Fargo Bank National Association
8765,0170J00165000000,170J165,2010-12-17,MG-10-002819,Fox Chapel Boro,,Certificate-Recorder of Deeds,203759.01,Citizens Bank of Pennsylvania
8766,0077B00213000000,77B213,2010-12-17,MG-10-002820,Pittsburgh,26,Mail Returned,22106.65,PNC Mortgage
8767,0228E00020000000,228E20,2010-12-17,MG-10-002821,O'Hara Township,,Order of Court,210988.82,HSBC Bank USA N.A.
8768,0460E00360000000,460E360,2010-12-20,MG-10-002822,City of McKeesport,8,Praecipe to Withdraw,11290.32,PHH Mortgage Corporation
8769,0885D00175000000,885D175,2010-12-20,MG-10-002823,South Park Township,,Sheriff Return,124185.85,Nationstar Mortgage LLC
8770,1006H00066000000,1006H66,2010-12-20,MG-10-002824,Jefferson Hills Boro,,Sheriff Return,170456.87,Nationstar Mortgage LLC
8771,0194P00158000000,194P158,2010-12-20,MG-10-002825,Scott Township,,Sheriff Return,194664.73,Nationstar Mortgage LLC
8772,0113M00372000000,113M372,2010-12-20,MG-10-002826,Bellevue Boro,,Complaint,34142.14,Household Finance Consumer Discount Company
8773,0321E00089000000,321E89,2010-12-20,MG-10-002827,Bridgeville Boro,,Sheriff Return,172350.34,Equicredit Corporation of America
8774,0497N00003000000,497N3,2010-12-21,MG-10-002828,N. Fayette Township,,Sheriff Return,135840.1,US Bank National Assciation
8775,0046F00101000000,46F101,2010-12-21,MG-10-002830,Pittsburgh,26,Sheriff Return,56604.0,Deutsche Bank National Trust Company
8776,0004S00005000000,4S5,2010-12-21,MG-10-002831,Pittsburgh,18,Settled and Discontinued,37447.99,HSBC Bank USA
8777,0281S00107000000,281S107,2010-12-21,MG-10-002832,Ross Township,,Settled and Discontinued,0.0,First National Bank of PA
8778,0075S00009000000,75S9,2010-12-21,MG-10-002833,Pittsburgh,27,Settled and Discontinued,0.0,First National Bank of PA
8779,0173S00229000000,173S229,2010-12-21,MG-10-002834,Penn Hills Township,,Settled and Discontinued,79287.28,Wells Fargo Bank
8780,0810S00002000000,810S2,2010-12-21,MG-10-002835,Moon Township,,Certificate-Recorder of Deeds,0.0,ESB Bank
8781,0074R00130000000,74R130,2010-12-21,MG-10-002836,McKees Rocks Boro,,Discontinued without Prejudice,46327.22,U.S. Bank National Association
8782,9929X86701000000,9929X86701,2010-12-22,MG-10-002837,N. Fayette Township,,Discontinued without Prejudice,190369.66,Chase Home Finance LLC
8783,0139J00056000000,139J56,2010-12-22,MG-10-002838,Castle Shannon Boro,,Sheriff Return,57095.77,Wells Fargo Bank N.A.
8784,0446N00173000000,446N173,2010-12-22,MG-10-002839,Penn Hills Township,,Discontinued without Prejudice,83669.95,Bank of New York Mellon
8785,0885G00040000000,885G40,2010-12-22,MG-10-002840,South Park Township,,Sheriff Return,114567.3,Everbank
8786,0314H00208000000,314H208,2010-12-22,MG-10-002841,Baldwin Boro,,Motion & Order,25918.21,Dollar Bank Federal Savings Bank
17612,0023E00298000000,23E298,2014-10-10,GD-14-018819,Pittsburgh,25,Sheriff Return,85524.66,McAnallen David
8787,0534K00086000000,534K86,2010-12-22,MG-10-002842,Penn Hills Township,,Discontinued without Prejudice,147476.06,Citibank N.A.
8788,0077B00112000000,77B112,2010-12-22,MG-10-002843,Pittsburgh,26,Order of Court,82014.38,Deutsche Bank National Trust Company as Trustee
8789,0022P00033000000,22P33,2010-12-23,MG-10-002844,Pittsburgh,21,Satisfaction,29772.63,Midfirst Bank
8790,0118P00191000000,118P191,2010-12-23,MG-10-002845,Millvale Boro,,Order of Court,52329.57,Midfirst Bank
8791,1071S01401000000,1071S1401,2010-12-23,MG-10-002846,McCandless Township,,Discontinued without Prejudice,0.0,Citimortgage Inc.
8792,0235J00044000000,235J44,2010-12-23,MG-10-002847,Swissvale Boro,,Suggestion of Bankruptcy,70728.89,US Bank National Association
8793,0543G00259000000,543G259,2010-12-23,MG-10-002848,Monroeville Boro,,Sheriff Return,96394.57,Bank of New York
8794,0043E00186000000,43E186,2010-12-23,MG-10-002849,McKees Rocks Boro,,Sheriff Return,13854.66,Deutche Bank National Trust Company
8795,0082R00066000000,82R66,2010-12-23,MG-10-002850,Pittsburgh,11,Discontinued without Prejudice,66002.01,U.S. Bank National Association
8796,0353A00056000000,353A56,2010-12-23,MG-10-002851,Ross Township,,Sheriff Return,0.0,Citimortgage Inc.
8797,0741M00008000000,741M8,2010-12-23,MG-10-002852,Monroeville Boro,,Settled and Discontinued,276651.7,Wells Fargo Bank N. A
8798,0373M00270000000,373M270,2010-12-23,MG-10-002853,Wilkins Township,,Discontinued without Prejudice,56477.83,Green Tree Consumer Discount Company
8799,0351P00051000000,351P51,2010-12-23,MG-10-002854,West View Boro,,Sheriff Return,122599.56,Chase Home Finance LLC
8800,0141P00185000000,141P185,2010-12-23,MG-10-002855,Mt. Lebanon Township,,Praecipe to Withdraw,151145.82,Bank of America National Association
8801,0380S00291000000,380S291,2010-12-23,MG-10-002856,City of McKeesport,8,Order of Court,0.0,PHH Mortgage Corporation
8802,0096S00272000000,96S272,2010-12-27,MG-10-002857,Pittsburgh,32,Discontinued without Prejudice,76104.83,Ocwen Loan Servicing LLC
8803,0310B00270000000,310B270,2010-12-27,MG-10-002858,West Mifflin Boro,,Sheriff Return,90945.97,Citimortgage Inc.
8804,0946D00021000000,946D21,2010-12-27,MG-10-002859,McCandless Township,,Sheriff Return,209112.83,GMAC Mortgage LLC
8805,0232E00257000000,232E257,2010-12-27,MG-10-002860,Wilkinsburg Boro,,Sheriff Return,44915.13,OneWest Bank FSB
8863,0540H00051000000,540H51,2011-01-06,GD-11-000414,Penn Hills Township,,Sheriff Return,75553.52,Wells Fargo Bank N.A.
8806,0375N00374000000,375N374,2010-12-27,MG-10-002861,East Pittsburgh Boro,,Sheriff Return,64409.91,Beneficial Consumer Discount Company
8807,0024E00260000000,24E260,2010-12-27,MG-10-002862,Pittsburgh,23,Sheriff Return,53911.65,Beneficial Consumer Discount Company
8808,1241F00344000000,1241F344,2010-12-27,MG-10-002863,Plum Boro,,Sheriff Return,132085.52,HSBC Bank USA National Association
8809,0374N00136000000,374N136,2010-12-27,MG-10-002864,N. Braddock Boro,,Discontinued without Prejudice,58891.46,U.S. Bank National Association
8810,0213C00179000000,213C179,2010-12-28,MG-10-002865,Emsworth Boro,,Certificate-Recorder of Deeds,79379.29,Citimortgage Inc.
8811,1224B00329000000,1224B329,2010-12-28,MG-10-002866,Brackenridge Boro,,Sheriff Return,53626.17,US Bank National Association
8812,0231B00390000000,231B390,2010-12-28,MG-10-002867,Penn Hills Township,,Sheriff Return,71094.4,PNC Mortgage
8813,0452S00036000000,452S36,2010-12-28,MG-10-002868,Wilkins Township,,Settled and Discontinued,58287.11,Wells Fargo Bank N.A.
8814,0173M00311000000,173M311,2010-12-28,MG-10-002869,Penn Hills Township,,Sheriff Return,27656.45,U.S. Bank National Association as Trustee
8815,0119C00102000000,119C102,2010-12-28,MG-10-002870,Shaler Township,,Mail Returned,112637.16,Deutsche Bank National Trust Company
8816,0456R00180000000,456R180,2010-12-28,MG-10-002871,N. Versailles Twp.,,Sheriff Return,58501.7,U.S. Bank National Association
8817,1657L00002000000,1657L2,2010-12-28,MG-10-002873,Marshall Township,,Discontinued without Prejudice,653134.97,PNC Bank N.A.
8818,0081D00127000000,81D127,2010-12-28,MG-10-002874,Pittsburgh,10,Sheriff Return,118564.83,HSBC Mortgage Services Inc.
8819,0081H00055000000,81H55,2010-12-28,MG-10-002874,Pittsburgh,10,Sheriff Return,118564.83,HSBC Mortgage Services Inc.
8820,0105D00242000000,105D242,2010-12-28,MG-10-002875,Thornburg Boro,,Substitution of Party Plaintiff,314357.21,Citibank N.A.
8821,0374G00332000000,374G332,2010-12-28,MG-10-002876,Chalfant Boro,,Sheriff Return,69227.73,Wells Fargo Bank N.A.
8822,0132D00091000000,132D91,2010-12-28,MG-10-002877,Munhall Boro,,Discontinued without Prejudice,46249.16,Wells Fargo Bank NA
8823,0463L00124000000,463L124,2010-12-28,MG-10-002878,Pittsburgh,12,Sheriff Return,140298.13,Nationstar Mortgage LLC
8824,0022L00011000000,22L11,2010-12-28,MG-10-002879,Pittsburgh,21,Sheriff Return,41178.23,PHH Mortgage Corporation
8825,0022L00013000000,22L13,2010-12-28,MG-10-002880,Pittsburgh,21,Certificate-Recorder of Deeds,37448.78,PHH Mortgage Corporation
8826,0022L00024000000,22L24,2010-12-28,MG-10-002880,Pittsburgh,21,Certificate-Recorder of Deeds,37448.78,PHH Mortgage Corporation
8827,0120P00016000000,120P16,2010-12-28,MG-10-002881,Pittsburgh,10,Sheriff Return,47389.77,US Bank National Association
8828,0115C00187000000,115C187,2010-12-28,MG-10-002882,Pittsburgh,26,Motion & Order,55358.64,Deutsche Bank National Trust Company
8829,0341G00279000000,341G279,2010-12-28,MG-10-002883,Coraopolis Boro,,Discontinued without Prejudice,61886.38,PNC Bank National Association
8830,0461S00066000000,461S66,2010-12-28,MG-10-002884,White Oak Boro,,Correction to Judgment Index,86727.5,Nationstar Mortgage LLC
8831,0068K00022000000,68K22,2010-12-28,MG-10-002885,Crafton Boro,,Discontinued without Prejudice,107218.99,PHH Mortgage Corporation
8832,0159H00051000000,159H51,2010-12-29,MG-10-002886,Avalon Boro,,Settled and Discontinued,85539.5,Deutsche Bank National Trust Company
8833,0547B00091000000,547B91,2010-12-28,MG-10-002887,East McKeesport Boro,,Sheriff Return,98601.8,Interstate Advisors LLC
8834,,NONE,2010-12-29,MG-10-002888,Brentwood Boro,,Sheriff Return,79306.66,Fidelity Bank
8835,0383C00117000000,383C117,2010-12-29,MG-10-002889,Port Vue Boro,,Discontinued without Prejudice,37985.75,Bank of New York Mellon
8836,0191N00038000000,191N38,2010-12-29,MG-10-002890,Castle Shannon Boro,,Sheriff Return,18271.83,Midfirst Bank
8837,0368G00303000000,368G303,2010-12-29,MG-10-002891,Penn Hills Township,,Settled and Discontinued,76088.19,Midfirst Bank
8838,0602J00075000000,602J75,2010-12-29,MG-10-002892,Edgeworth Boro,,Sheriff Return,670517.57,Deutsche Bank National Trust Company
8839,0481R00036000000,481R36,2010-12-29,MG-10-002893,Bridgeville Boro,,Sheriff Return,37224.65,ESB Bank FSB
8840,0539L00051000000,539L51,2010-12-29,MG-10-002894,Penn Hills Township,,Correction to Judgment Index,77002.28,Morequity Inc.
8841,0131H00106000000,131H106,2010-12-29,MG-10-002895,Munhall Boro,,Sheriff Return,78839.45,US Bank National Association
8842,0669R00063000000,669R63,2010-12-29,MG-10-002896,Upper St. Clair Twp.,,Order of Court,228251.57,Deutsche Bank National Trust Company as Trustee
8843,0049G00261000000,49G261,2010-12-29,MG-10-002897,Pittsburgh,29,Sheriff Return,54485.4,Wells Fargo Bank N.A.
8844,0713L00326000000,713L326,2010-12-29,MG-10-002898,McCandless Township,,Discontinued without Prejudice,185159.38,Bank of New York Mellon
8845,0610M00126000000,610M126,2010-12-29,MG-10-002899,Ross Township,,Discontinued without Prejudice,174653.47,Bank of New York Mellon
8846,0087R00126000000,87R126,2010-12-29,MG-10-002900,Pittsburgh,14,Praecipe to Withdraw,155132.86,U.S. Bank National Association
8847,0464E00070000000,464E70,2010-12-29,MG-10-002901,City of McKeesport,11,Praecipe to Vacate Judgment,19686.08,U.S. Bank National Association
8848,0279E00068000000,279E68,2010-12-29,MG-10-002902,West View Boro,,Discontinued without Prejudice,127774.85,U.S. Bank National Association as trustee
8849,0180J00126000000,180J126,2010-12-30,MG-10-002903,Munhall Boro,,Amended Complaint,56968.6,Wells Fargo Bank N. A
8850,0013R00122000000,13R122,2010-12-30,MG-10-002904,Pittsburgh,16,Order of Court,50728.4,U.S. Bank N.A.
8851,2378L00070000000,2378L70,2010-12-30,MG-10-002905,Richland Township,,Discontinued without Prejudice,82475.68,HSBC Bank USA N.A.
8852,0161E00336000000,161E336,2011-01-03,GD-11-000039,Ross Township,,Sheriff Return,56961.39,BAC Home Loans Servicing L.P.
8853,0463N00036000000,463N36,2011-01-03,GD-11-000041,Pittsburgh,12,Sheriff Return,58305.95,U.S. Bank National Association
8854,0451J00355000000,451J355,2011-01-03,GD-11-000066,Penn Hills Township,,Discontinued without Prejudice,96405.29,Citimortgage Inc.
8855,0463P00083000000,463P83,2011-01-03,GD-11-000068,City of McKeesport,12,Discontinued without Prejudice,173428.59,US Bank National Association
8856,0141S00305000000,141S305,2011-01-04,GD-11-000112,Mt. Lebanon Township,,Sheriff Return,255583.11,Eastern Savings Bank FSB
8857,0001C016620F2090,1C1662 F20 90,2011-01-04,GD-11-000274,Pittsburgh,2,Certificate-Recorder of Deeds,198662.98,First National Bank of Pennsylvania
8858,1348C00036000000,1348C36,2011-01-05,GD-11-000298,Pine Township,,Sheriff Return,14216.05,Bank of New York Mellon
8859,0094N00208000000,94N208,2011-01-05,GD-11-000303,Pittsburgh,29,Sheriff Return,64048.22,JPMorgan Chase Bank N.A.
8860,0750N00326000000,750N326,2011-01-05,GD-11-000305,N. Versailles Twp.,,Sheriff Return,48137.41,Citimortgage Inc.
8861,0029N00099000000,29N99,2011-01-05,GD-11-000334,Pittsburgh,16,Settled and Discontinued,118769.83,First National Bank of Pennsylvania
8862,0160J00171000000,160J171,2011-01-05,GD-11-000340,Avalon Boro,,Discontinued without Prejudice,134667.33,Enterprise Bank
8864,1002C00136000000,1002C136,2011-01-06,GD-11-000416,City of Clairton,2,Sheriff Return,4576.16,Wells Fargo Bank N.A.
8865,0167J00004000000,167J4,2011-01-07,GD-11-000435,Etna Boro,,Praecipe to Vacate Judgment,69737.49,HSBC Bank USA National Association
8866,0997B00118000000,997B118,2011-01-07,GD-11-000439,Elizabeth Township,,Sheriff Return,130987.72,Wells Fargo Bank NA
8867,0236B00218000000,236B218,2011-01-10,GD-11-000490,Rankin Boro,,Sheriff Return,18446.81,Citimortgage Inc.
8868,0098H00266000000,98H266,2011-01-10,GD-11-000557,Dormont Boro,,Sheriff Return,64021.46,Citimortgage Inc.
8869,0305N00152000000,305N152,2011-01-11,GD-11-000561,West Mifflin Boro,,Sheriff Return,61088.81,PHH Mortgage Corporation
